After filter: 45 REAL missing items (had 466 raw)
By category: {'装饰': 33, '?': 8, '饮料': 4}

--- ? (8) ---
  GEAR_ChallengeDeadManWalking                      亡者沉眠                (As the Dead Sleep)
  GEAR_ChallengeHunted                              猎物，第一部分             (The Hunted, Part One)
  GEAR_ChallengeHuntedPart2                         猎物，第二部分             (The Hunted, Part Two)
  GEAR_ChallengeWhiteout                            白雪茫茫                (Whiteout)
  GEAR_Interloper                                   入侵者                 (Interloper)
  GEAR_Pilgrim                                      朝圣者                 (Pilgrim)
  GEAR_Stalker                                      潜行者                 (Stalker)
  GEAR_Voyageur                                     航行者                 (Voyageur)

--- 装饰 (33) ---
  GEAR_BIKey1                                       留言钥匙                (Memento Key)
  GEAR_BIKey2                                       留言钥匙                (Memento Key)
  GEAR_BRKey1                                       留言钥匙                (Memento Key)
  GEAR_BRKey2                                       留言钥匙                (Memento Key)
  GEAR_DarkwalkerDiary11                            论 Darkwalker 的天性    (On the Nature of Darkwalkers)
  GEAR_VisorNoteBI1                                 潦草的信息               (Scrawled Message)
  GEAR_VisorNoteBI2                                 潦草的信息               (Scrawled Message)
  GEAR_VisorNoteBI3                                 潦草的信息               (Scrawled Message)
  GEAR_VisorNoteBR1                                 潦草的信息               (Scrawled Message)
  GEAR_VisorNoteBR2                                 潦草的信息               (Scrawled Message)
  GEAR_VisorNoteBR3                                 潦草的信息               (Scrawled Message)
  GEAR_VisorNoteBlackrock1                          潦草的信息               (Scrawled Message)
  GEAR_VisorNoteBlackrock3                          潦草的信息               (Scrawled Message)
  GEAR_VisorNoteBlackrockKey3                       留言钥匙                (Memento Key)
  GEAR_VisorNoteDP1                                 潦草的信息               (Scrawled Message)
  GEAR_VisorNoteDP2                                 潦草的信息               (Scrawled Message)
  GEAR_VisorNoteDP3                                 潦草的信息               (Scrawled Message)
  GEAR_VisorNoteDPKey1                              留言钥匙                (Memento Key)
  GEAR_VisorNoteFM3                                 潦草的信息               (Scrawled message)
  GEAR_VisorNoteHRV1                                潦草的信息               (Scrawled Message)
  GEAR_VisorNoteHRV3                                潦草的信息               (Scrawled Message)
  GEAR_VisorNoteHRVKey1                             留言钥匙                (Memento Key)
  GEAR_VisorNoteML1                                 潦草的信息               (Scrawled message)
  GEAR_VisorNoteML2                                 潦草的信息               (Scrawled Message)
  GEAR_VisorNoteML3                                 潦草的信息               (Scrawled Message)
  GEAR_VisorNoteMLKey2                              留言钥匙                (Memento Key)
  GEAR_VisorNoteMLKey3                              留言钥匙                (Memento Key)
  GEAR_VisorNoteMT1                                 潦草的信息               (Scrawled Message)
  GEAR_VisorNoteMT2                                 潦草的信息               (Scrawled Message)
  GEAR_VisorNoteMTKey1                              留言钥匙                (Memento Key)
  GEAR_VisorNotePV2                                 潦草的信息               (Scrawled Message)
  GEAR_VisorNoteTWM1                                潦草的信息               (Scrawled Message)
  GEAR_VisorNoteTWM2                                潦草的信息               (Scrawled Message)

--- 饮料 (4) ---
  GEAR_VisorNoteAC1                                 潦草的信息               (Scrawled Message)
  GEAR_VisorNoteAC2                                 潦草的信息               (Scrawled Message)
  GEAR_VisorNoteAC3                                 潦草的信息               (Scrawled Message)
  GEAR_VisorNoteACKey1                              留言钥匙                (Memento Key)

[filtered as non-items: 421 variants/no-loc prefabs]
